,Unnamed: 0,Symbol,Wikipedia Link,Name,Sector,SEC Filings Link,CIK,Enterprise Value,Trailing P/E,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,EBITDA,Diluted EPS,Market Cap (intraday),Forward P/E,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding
324,324,O,https://en.wikipedia.org/wiki/wiki/Realty_Income_Corporation,Realty Income Corporation,Real Estate,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000726728&type=10-K&dateb=&owner=include&count=40,726728,20620000000.0,47.35,16.96,18.72,1220000000.0,1100000000.0,1.1,14830000000.0,38.58,0.3,50.53,53.97,2360000.0,1910000.0,284370000.0
325,325,RHT,https://en.wikipedia.org/wiki/wiki/Red_Hat_Inc.,Red Hat Inc.,Information Technology,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001087423&type=10-K&dateb=&owner=include&count=40,1087423,25780000000.0,80.59,9.28,48.55,2780000000.0,531020000.0,1.85,26400000000.0,36.92,1.19,150.07,129.53,1880000.0,2190000.0,177000000.0
326,326,REG,https://en.wikipedia.org/wiki/wiki/Regency_Centers_Corporation,Regency Centers Corporation,Real Estate,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000910606&type=10-K&dateb=&owner=include&count=40,910606,13760000000.0,58.7,13.48,20.55,1020000000.0,669570000.0,1.0,9970000000.0,37.39,0.51,58.22,63.09,1220000.0,1210000.0,169450000.0
327,327,REGN,https://en.wikipedia.org/wiki/wiki/Regeneron,Regeneron,Health Care,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000872589&type=10-K&dateb=&owner=include&count=40,872589,34530000000.0,30.91,5.88,15.52,5870000000.0,2230000000.0,10.34,34390000000.0,15.18,1.6,331.68,379.47,,,105680000.0
328,328,RSG,https://en.wikipedia.org/wiki/wiki/Republic_Services_Inc,Republic Services Inc,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001060391&type=10-K&dateb=&owner=include&count=40,1060391,30160000000.0,17.73,3.0,10.89,10040000000.0,2770000000.0,3.77,22040000000.0,19.6,0.52,67.17,65.82,1830000.0,1790000.0,329640000.0
329,329,RMD,https://en.wikipedia.org/wiki/wiki/ResMed,ResMed,Health Care,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000943819&type=10-K&dateb=&owner=include&count=40,943819,13950000000.0,47.12,6.35,22.61,2200000000.0,616880000.0,1.99,13380000000.0,26.6,1.25,96.49,87.95,,,142930000.0
330,330,RHI,https://en.wikipedia.org/wiki/wiki/Robert_Half_International,Robert Half International,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000315213&type=10-K&dateb=&owner=include&count=40,315213,6800000000.0,24.53,1.29,11.7,5270000000.0,581210000.0,2.33,6980000000.0,16.05,1.3,58.19,54.84,1250000.0,1300000.0,122160000.0
331,331,ROK,https://en.wikipedia.org/wiki/wiki/Rockwell_Automation_Inc.,Rockwell Automation Inc.,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001024478&type=10-K&dateb=&owner=include&count=40,1024478,21920000000.0,58.36,3.42,17.74,6410000000.0,1240000000.0,2.89,21590000000.0,19.22,1.04,180.47,188.85,,1190000.0,127780000.0
332,332,COL,https://en.wikipedia.org/wiki/wiki/Rockwell_Collins,Rockwell Collins,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001137411&type=10-K&dateb=&owner=include&count=40,1137411,28920000000.0,24.81,3.79,17.66,7640000000.0,1640000000.0,5.4,21950000000.0,17.08,0.59,136.13,134.92,1300000.0,1370000.0,163940000.0
333,333,ROP,https://en.wikipedia.org/wiki/wiki/Roper_Technologies,Roper Technologies,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000882835&type=10-K&dateb=&owner=include&count=40,882835,33360000000.0,28.52,7.24,21.45,4610000000.0,1560000000.0,9.39,27540000000.0,22.26,1.33,279.14,264.96,,,102830000.0
